Basic Pay,Gross Pay and Allowances,Qualification Pay,Total Deductions
,,,
,,,
"41,630.00","92,067.00",,
,,,"21,331.00"
,,,
,,,
"39,370.00","92,514.00",,
,,,"8,808.00"
,,,
,,,
"58,750.00","124,192.00",,
,,,"14,148.00"
,,,
,,,
"58,750.00","121,692.00",,
,,,"29,618.00"
,,,
,,,
"55,330.00","116,217.00",,
,,,"10,233.00"
,,,
,,,
"51,910.00","117,391.00",,
,,,"13,345.00"
,,,
,,,
"51,910.00",,,
,"110,741.00",,
,,,"12,348.00"
,,,
,,,
"51,910.00","117,391.00",,
,,,"13,345.00"
,,,
,,,
"51,910.00",,,
,"101,391.00",,
,,,"10,945.00"
,,,
,,,
"51,910.00","117,391.00",,
,,,"13,345.00"
,,,
,,,
"48,490.00",,,
,"89,611.00",,
,,,"10,163.00"
,,,
,,,
"48,490.00",,,
,"89,611.00",,
,,,"10,163.00"
,,,
,,,
"30,330.00","67,166.00",,
,,,"7,248.00"
,,,
,,,
"53,920.00","113,584.00",,
,,,"12,491.00"
,,,
,,,
"56,640.00","122,470.00",,
,,,"8,751.00"
,,,
,,,
"55,330.00","116,846.00",,
,,,"19,265.00"
,,,
,,,
"34,490.00","78,660.00",,
,,,"3,553.00"
,,,
,,,
"34,490.00","79,153.00",,
,,,"3,552.00"
,,,
,,,
"34,490.00","78,247.00",,
,,,"7,487.00"
,,,
,,,
"62,550.00",,,
,"76,549.00",,
,,,"11,996.00"
,,,
,,,
"50,800.00","106,596.00",,
,,,"16,620.00"
,,,
,,,
"31,660.00","85,366.00",,
,,,"6,011.00"
,,,
,,,
"31,660.00","70,830.00",,
,,,"10,491.00"
,,,
,,,
"34,490.00","72,891.00",,
,,,"3,063.00"
,,,
,,,
"55,590.00",,,
,"80,279.00",,
,,,"8,750.00"
,,,
,,,
"34,490.00","81,104.00",,
,,,"8,298.00"
,,,
,,,
"34,490.00","76,806.00",,
,,,"2,571.00"
,,,
,,,
"55,590.00",,,
,"115,402.00",,
,,,"28,841.00"
,,,
,,,
"66,030.00","137,190.00",,
,,,"27,939.00"
,,,
,,,
"64,290.00","71,605.00",,
,,,"13,429.00"
,,,
,,,
"66,030.00","141,651.00",,
,,,"13,608.00"
,,,
,,,
"60,810.00",,,
,"57,557.00",,
,,,"2,158.00"
,,,
,,,
"59,070.00","125,835.00",,
,,,"11,236.00"
,,,
,,,
"59,070.00","122,894.00",,
,,,"18,664.00"
,,,
,,,
"53,850.00","78,563.00",,
,,,"9,408.00"
,,,
,,,
"55,590.00","116,773.00",,
,,,"35,197.00"
,,,
,,,
"59,070.00","123,832.00",,
,,,"24,763.00"
,,,
,,,
"43,610.00","94,835.00",,
,,,"4,702.00"
,,,
,,,
"43,610.00","94,835.00",,
,,,"19,337.00"
,,,
,,,
"43,610.00","97,162.00",,
,,,"19,825.00"
,,,
,,,
"37,730.00","89,837.00",,
,,,"4,395.00"
,,,
,,,
"40,880.00","87,288.00",,
,,,"18,944.00"
,,,
,,,
"62,550.00",,,
,"96,326.00",,
,,,"14,052.00"
,,,
,,,
"37,730.00","85,032.00",,
,,,"3,994.00"
,,,
,,,
"40,880.00","87,028.00",,
,,,"15,431.00"
